站点,经度,纬度,PM2.5,PM10,AQI,SO2,NO2,O3,CO
东四,116.434,39.9522,77,139,103,13,93,3,2
天坛,116.434,39.8745,60,86,81,2,74,2,1.3
官园,116.361,39.9425,65,139,95,19,86,2,1.7
万寿西宫,116.366,39.8673,52,97,74,6,82,2,1.4
奥体中心,116.407,40.0031,63,126,88,13,75,3,1.4
农展馆,116.473,39.9716,82,147,109,15,92,2,1.6
万柳,116.315,39.9934,66,106,89,15,81,4,1.7
北部新区,116.157364,40.095177,50,90,70,2,54,2,1.2
植物园,116.216186,40.007561,,,,,,,
丰台花园,116.292561,39.870093,69,128,93,15,87,2,1.6
云岗,116.167924,39.81632,39,70,60,6,61,4,0.9
古城,116.225,39.9279,46,73,64,5,78,2,1.1
房山,116.148872,39.754105,42,86,68,3,69,3,1
大兴,116.350353,39.732777,91,152,120,5,78,2,2
亦庄,116.502328,39.806318,77,137,103,7,87,3,1.4
通州,116.662263,39.919339,90,171,119,16,95,2,1.7
顺义,116.72,40.1438,40,66,58,10,60,4,1.1
昌平,116.23,40.1952,47,86,68,16,47,8,1.5
门头沟,116.107029,39.949467,32,52,51,5,39,27,0.8
平谷,117.127953,40.14717,43,49,60,6,38,11,1.6
怀柔,116.644,40.3937,39,62,56,5,47,2,1.5
密云,116.849551,40.383384,48,60,66,7,53,2,2.3
延庆,115.981635,40.463159,72,133,96,21,59,2,2.6
定陵,116.17,40.2865,31,62,56,4,36,25,0.8
八达岭,116.016809,40.361911,22,56,53,16,51,6,1.2
密云水库,116.920432,40.523288,21,37,37,3,28,18,0.7
东高村,117.123155,40.111139,57,69,78,7,56,10,0.7
永乐店,116.796694,39.713903,153,196,203,10,90,3,2.4
榆垡,116.322042,39.516629,,,,,,,
琉璃河,116.038082,39.608249,125,203,164,42,60,7,6.2
前门,116.404588,39.905524,68,110,91,11,104,2,1.7
永定门内,116.405264,39.880656,69,117,93,10,95,2,1.9
西直门北,116.360469,39.956127,77,122,103,15,83,5,1.7
南三环,116.396597,39.863318,62,165,108,19,91,2,1.6
东四环,116.496378,39.885006,81,201,126,22,87,2,1.8
