监测点编码,监测点,城市,经度,纬度,AQI,PM2.5,PM10,SO2,NO2,O3,CO
1001A,万寿西宫,北京,116.366,39.8673,74,52,97,6,82,2,1.4
1002A,定陵,北京,116.17,40.2865,56,31,62,4,36,25,0.8
1003A,东四,北京,116.434,39.9522,103,77,139,13,93,3,2
1004A,天坛,北京,116.434,39.8745,82,60,86,2,74,2,1.3
1005A,农展馆,北京,116.473,39.9716,109,82,147,15,92,2,1.6
1006A,官园,北京,116.361,39.9425,95,65,139,19,86,2,1.7
1007A,海淀区万柳,北京,116.315,39.9934,89,66,106,15,81,4,1.7
1008A,顺义新城,北京,116.72,40.1438,58,40,66,10,60,4,1.1
1009A,怀柔镇,北京,116.644,40.3937,56,39,62,5,47,2,1.5
1010A,昌平镇,北京,116.23,40.1952,68,47,86,16,47,8,1.5
1011A,奥体中心,北京,116.407,40.0031,88,63,126,13,75,3,1.4
1012A,古城,北京,116.225,39.9279,64,46,73,5,78,2,1.1
