监测点名称,城市,经度,纬度,AQI-1,PM2.5-1,PM10-1,AQI-2,PM2.5-2,PM10-2,AQI-3,PM2.5-3,PM10-3,AQI-4,PM2.5-4,PM10-4,AQI-5,PM2.5-5,PM10-5,AQI-6,PM2.5-6,PM10-6,AQI-7,PM2.5-7,PM10-7,AQI-8,PM2.5-8,PM10-8,AQI-9,PM2.5-9,PM10-9,AQI-10,PM2.5-10,PM10-10
东四,北京,116.434,39.9522,103,77,139,52,32,54,22,6,22,27,14,27,55,32,60,29,16,25,71,52,81,31,15,31,19,4,19,31,10,31
天坛,北京,116.434,39.8745,81,60,86,48,32,48,31,3,31,33,14,33,51,29,52,55,39,,57,35,63,37,18,37,22,3,22,28,4,28
官园,北京,116.361,39.9425,95,65,139,51,28,51,36,5,36,41,9,41,60,35,70,31,20,31,75,55,86,46,12,46,20,4,18,34,3,34
万寿西宫,北京,116.366,39.8673,74,52,97,53,30,56,28,8,28,34,16,34,59,34,67,54,36,58,71,52,92,39,14,39,20,6,16,28,6,28
奥体中心,北京,116.407,40.0031,88,63,126,54,31,58,19,4,19,28,10,28,61,29,72,45,21,45,68,49,76,32,13,32,28,5,28,35,5,35
农展馆,北京,116.473,39.9716,109,82,147,58,37,66,26,5,26,25,7,25,53,32,56,36,21,36,71,52,75,35,15,35,24,5,24,30,7,30
海淀区万柳,北京,116.315,39.9934,89,66,106,56,40,58,27,6,27,29,15,29,51,33,52,52,34,53,56,37,62,27,14,27,23,11,,24,10,22
北部新区,北京,116.157364,40.095177,70,50,90,80,42,109,29,12,29,32,16,32,53,33,55,76,56,75,74,54,85,51,16,51,56,9,62,43,6,43
植物园,北京,116.216186,40.007561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丰台花园,北京,116.292561,39.870093,93,69,128,56,27,62,33,11,33,40,11,40,67,40,84,71,52,80,80,50,110,41,29,37,17,3,14,29,3,29
云岗,北京,116.167924,39.81632,60,39,70,91,68,126,30,15,30,35,21,35,55,31,60,65,47,71,61,44,65,34,16,34,24,3,18,30,4,30
古城,北京,116.225,39.9279,64,46,73,66,48,65,25,8,25,26,14,26,65,31,79,66,45,81,75,42,99,29,16,29,21,5,11,71,8,91
房山,北京,116.148872,39.754105,68,42,86,,,,29,5,29,39,14,39,73,53,88,103,77,121,109,82,113,32,15,32,,,,45,3,45
大兴,北京,116.350353,39.732777,120,91,152,63,45,71,42,6,42,39,14,39,75,53,100,148,113,145,115,87,105,37,14,37,18,6,17,44,3,44
亦庄,北京,116.502328,39.806318,103,77,137,46,32,46,22,3,22,30,3,30,83,34,115,55,37,59,62,41,73,24,9,24,17,3,16,36,3,36
通州,北京,116.662263,39.919339,119,90,171,70,51,75,33,6,33,30,12,30,61,28,71,27,12,26,57,28,64,36,17,36,37,5,37,39,3,39
顺义新城,北京,116.72,40.1438,58,40,66,108,81,107,22,6,15,20,11,20,44,26,44,21,11,21,60,43,57,27,16,27,26,6,26,22,4,10
昌平镇,北京,116.23,40.1952,68,47,86,72,49,93,43,4,43,37,14,37,59,42,45,28,13,28,37,26,30,30,12,30,35,6,35,40,3,40
门头沟,北京,116.107029,39.949467,51,32,52,52,35,54,23,8,19,24,14,24,42,28,42,54,38,38,53,36,55,37,16,37,23,3,16,31,4,31
平谷,北京,117.127953,40.14717,60,43,49,143,109,,20,10,,18,10,,91,68,,20,9,10,61,44,,27,19,,19,7,10,20,6,
怀柔镇,北京,116.644,40.3937,56,39,62,56,40,57,20,7,14,30,21,,34,24,31,41,29,,55,39,,32,11,32,20,5,12,21,3,8
密云,北京,116.849551,40.383384,66,48,60,88,65,78,22,6,11,20,10,20,70,51,57,20,8,12,76,56,,19,11,14,23,15,23,18,8,9
延庆,北京,115.981635,40.463159,96,72,133,68,49,63,43,19,43,45,25,45,109,82,114,63,45,73,125,95,141,25,16,25,21,5,17,22,5,10
定陵,北京,116.17,40.2865,56,31,62,94,70,74,21,5,7,27,12,27,49,34,43,25,10,25,32,19,32,24,12,24,22,5,22,24,3,13
八达岭,北京,116.016809,40.361911,53,22,56,70,37,89,39,18,39,36,19,36,68,49,77,52,32,53,74,54,87,39,20,39,35,9,35,21,7,21
密云水库,北京,116.920432,40.523288,37,21,37,34,19,34,20,7,13,21,13,21,21,11,21,23,3,9,29,20,23,23,13,14,21,5,12,21,3,10
东高村,北京,117.123155,40.111139,78,57,69,75,55,88,19,6,12,18,10,16,44,31,42,16,11,14,39,23,39,34,24,25,17,11,17,17,3,9
永乐店,北京,116.796694,39.713903,203,153,196,61,44,,30,15,30,36,11,36,59,41,67,224,174,195,118,89,118,36,13,36,39,8,39,42,3,42
榆垡,北京,116.322042,39.516629,,,,,,,26,12,26,68,49,56,50,35,48,246,196,203,63,45,70,36,9,36,23,4,23,51,5,51
琉璃河,北京,116.038082,39.608249,164,125,203,139,106,183,159,121,162,118,89,150,93,3,135,204,154,192,209,159,256,251,201,266,61,37,71,63,3,75
前门,北京,116.404588,39.905524,91,68,110,75,55,,20,14,17,26,18,26,56,39,62,51,36,,84,62,87,28,19,28,20,3,14,22,6,22
永定门内,北京,116.405264,39.880656,93,69,117,49,34,43,20,6,20,28,17,28,58,41,61,80,59,,73,49,95,33,13,33,13,6,13,18,5,18
西直门北,北京,116.360469,39.956127,103,77,122,51,36,46,24,7,24,36,18,36,55,37,60,33,23,27,75,55,74,42,18,42,21,9,21,35,10,35
南三环,北京,116.396597,39.863318,108,62,165,66,30,81,28,6,28,32,17,32,75,50,99,84,39,117,100,75,96,33,12,33,15,3,14,31,3,31
东四环,北京,116.496378,39.885006,126,81,201,70,37,90,17,5,12,32,11,32,62,23,73,63,15,75,85,40,119,33,13,33,25,,25,25,,25
