监测点编码,监测点,城市,经度,纬度,AQI-6,PM2.5-6,PM10-6,AQI-7,PM2.5-7,PM10-7,AQI-8,PM2.5-8,PM10-8,AQI-9,PM2.5-9,PM10-9,AQI-10,PM2.5-10,PM10-10
1001A,万寿西宫,北京,116.366,39.8673,54,36,58,72,52,92,39,14,39,20,6,16,28,6,28
1002A,定陵,北京,116.17,40.2865,25,10,25,32,19,32,24,12,24,22,5,22,24,3,13
1003A,东四,北京,116.434,39.9522,29,16,25,72,52,81,31,15,31,19,4,19,31,10,31
1004A,天坛,北京,116.434,39.8745,55,39,,57,35,63,37,18,37,22,3,22,28,4,28
1005A,农展馆,北京,116.473,39.9716,36,21,36,72,52,75,35,15,35,24,5,24,30,7,30
1006A,官园,北京,116.361,39.9425,31,20,31,75,55,86,46,12,46,20,4,18,34,3,34
1007A,海淀区万柳,北京,116.315,39.9934,52,34,53,56,37,62,27,14,27,24,11,,25,10,22
1008A,顺义新城,北京,116.72,40.1438,21,11,21,60,43,57,27,16,27,26,6,26,22,4,10
1009A,怀柔镇,北京,116.644,40.3937,42,29,,55,39,,32,11,32,21,5,12,21,3,8
1010A,昌平镇,北京,116.23,40.1952,28,13,28,38,26,30,30,12,30,35,6,35,40,3,40
1011A,奥体中心,北京,116.407,40.0031,45,21,45,68,49,76,32,13,32,28,5,28,35,5,35
1012A,古城,北京,116.225,39.9279,66,45,81,75,42,99,29,16,29,22,5,11,71,8,91
